id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
614973,API,Google,No,No,0,3.0,204,1.5,Converted to Lead,,,No,No,No,No,No,No,,,No
582361,Landing Page Submission,Direct Traffic,No,No,0,4.0,373,4.0,Had a Phone Conversation,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
605335,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
620783,Landing Page Submission,Direct Traffic,No,No,1,2.0,857,2.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,,,Yes
649332,Landing Page Submission,Google,No,No,0,7.0,1172,3.5,SMS Sent,Marketing Management,,No,No,No,No,No,No,14.0,18.0,Yes
636928,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
644388,Landing Page Submission,Direct Traffic,No,No,0,10.0,68,5.0,Email Opened,Supply Chain Management,,No,No,No,No,No,No,15.0,18.0,Yes
608077,Landing Page Submission,Direct Traffic,No,No,0,12.0,1354,6.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
659676,API,Referral Sites,No,No,0,4.0,75,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
631395,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
585344,API,Google,Yes,No,0,3.0,108,3.0,Unsubscribed,Select,Unemployed,No,No,No,No,No,No,8.0,15.0,No
586167,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
612603,API,Google,No,No,1,2.0,979,2.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
610199,Landing Page Submission,Google,No,No,1,5.0,1397,2.5,Page Visited on Website,Media and Advertising,Unemployed,No,No,No,No,No,No,,,No
624728,Landing Page Submission,Organic Search,No,No,0,3.0,415,3.0,Converted to Lead,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
590830,Landing Page Submission,Direct Traffic,No,No,1,2.0,883,2.0,SMS Sent,International Business,Working Professional,No,No,No,No,No,No,15.0,19.0,Yes
579928,Landing Page Submission,Google,No,No,1,9.0,287,3.0,Page Visited on Website,Media and Advertising,Student,No,No,No,No,No,No,15.0,19.0,No
631993,API,Google,No,No,1,3.0,1128,3.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
635498,Landing Page Submission,Google,Yes,No,0,6.0,78,2.0,Page Visited on Website,"Banking, Investment And Insurance",,No,No,No,No,No,No,14.0,18.0,No
601728,API,Google,No,No,0,4.0,140,2.0,Email Opened,Select,Student,No,No,No,No,No,No,,,No
622371,Landing Page Submission,Direct Traffic,No,No,1,2.0,1284,2.0,Email Opened,Marketing Management,,No,No,No,No,No,No,,,Yes
588458,Landing Page Submission,Direct Traffic,No,No,1,2.0,900,2.0,Converted to Lead,Healthcare Management,Working Professional,No,No,No,No,No,No,15.0,14.0,No
608823,Landing Page Submission,Google,No,No,0,1.0,151,1.0,Converted to Lead,International Business,,No,No,No,No,No,No,,,No
621121,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
636547,Landing Page Submission,Google,No,No,0,5.0,340,2.5,Email Link Clicked,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
597906,Landing Page Submission,Organic Search,No,No,1,8.0,924,4.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,,,Yes
607745,Landing Page Submission,Direct Traffic,No,No,0,2.0,145,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,Yes
596454,Landing Page Submission,Organic Search,Yes,No,0,2.0,16,2.0,Email Bounced,Travel and Tourism,,No,No,No,No,No,No,,,Yes
622698,Landing Page Submission,Google,No,No,0,5.0,406,5.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
656880,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,20.0,No
595608,API,Google,No,No,0,2.0,1148,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
610568,API,Google,No,No,0,1.0,16,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,,,No
601745,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
612233,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
642941,Landing Page Submission,Direct Traffic,No,No,0,2.0,59,2.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
626676,Landing Page Submission,Direct Traffic,No,No,1,4.0,222,2.0,Email Opened,Healthcare Management,,No,No,No,No,No,No,,,Yes
641875,Landing Page Submission,Google,No,No,0,3.0,759,3.0,Form Submitted on Website,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
629644,API,Google,No,No,0,5.0,464,5.0,Email Opened,,,No,No,No,No,No,No,,,No
610000,Landing Page Submission,Google,No,No,0,4.0,824,4.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
596748,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
580425,API,Google,No,No,0,6.0,351,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No
621277,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
614865,API,Google,No,No,1,2.0,252,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
587496,Landing Page Submission,Organic Search,No,No,0,4.0,367,4.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
617515,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
603315,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
587053,Landing Page Submission,Google,No,No,1,2.0,1227,1.0,Converted to Lead,Human Resource Management,,No,No,No,No,No,No,13.0,18.0,Yes
642841,API,Google,No,No,0,3.0,37,3.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
592866,API,Organic Search,No,No,0,3.0,306,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
